Player,Runs,Mins,BF,4s,6s,SR,Inns,Opposition,Ground,Start Date
AM Rahane ,12,29,22,2,0,54.54,1,v Australia,Melbourne,18-01-2015
DA Warner ,12,14,7,1,1,171.42,1,v India,Sydney,26-03-2015
JP Faulkner ,12,27,17,0,0,70.58,1,v India,Nagpur,01-10-2017
KD Karthik ,12,30,21,0,0,57.14,2,v Australia,Sydney,12-01-2019
CJ McKay ,11*,3,4,1,1,275,1,v India,Pune,13-10-2013
MK Pandey ,11*,12,11,2,0,100,2,v Australia,Nagpur,01-10-2017
GJ Maxwell ,11*,14,5,1,0,220,1,v India,Sydney,12-01-2019
V Sehwag ,11,41,25,1,0,44,2,v Australia,Delhi,31-10-2009
RA Jadeja ,11,22,18,1,0,61.11,2,v Australia,Pune,13-10-2013
R Vinay Kumar ,11,24,19,1,0,57.89,2,v Australia,Pune,13-10-2013
AC Voges ,11,14,8,0,1,137.5,1,v India,Jaipur,16-10-2013
RG Sharma ,11,33,22,2,0,50,1,v Australia,Mohali,19-10-2013
SR Watson ,11,33,17,1,0,64.7,2,v India,Mohali,19-10-2013
PJ Hughes ,11,25,17,1,0,64.7,1,v India,Ranchi,23-10-2013
MS Dhoni ,11,16,10,0,0,110,1,v Australia,Brisbane,15-01-2016
RA Jadeja ,10*,9,5,1,0,200,1,v Australia,Perth,12-01-2016
JJ Bumrah ,10*,9,6,2,0,166.66,1,v Australia,Kolkata,21-09-2017
PM Siddle ,10*,-,11,1,0,90.9,1,v India,Melbourne,18-01-2019
V Kohli ,10,32,16,1,0,62.5,2,v Australia,Mohali,02-11-2009
SR Tendulkar ,10,23,17,2,0,58.82,1,v Australia,Guwahati,08-11-2009
MJ Clarke ,10,24,21,0,0,47.61,1,v India,Melbourne,05-02-2012
MEK Hussey ,10,33,21,1,0,47.61,1,v India,Sydney,26-02-2012
BJ Haddin ,10,13,14,2,0,71.42,1,v India,Pune,13-10-2013
B Kumar ,10,23,18,1,0,55.55,1,v Australia,Mohali,19-10-2013
MJ Clarke ,10,16,12,1,0,83.33,1,v India,Sydney,26-03-2015
GJ Bailey ,10,11,7,0,0,142.85,1,v India,Canberra,20-01-2016
MP Stoinis ,10,-,20,1,0,50,1,v India,Melbourne,18-01-2019
MG Johnson ,9*,14,12,0,1,75,1,v India,Delhi,31-10-2009
SK Raina ,9*,19,13,1,0,69.23,2,v Australia,Delhi,31-10-2009
NM Hauritz ,9*,15,11,0,0,81.81,1,v India,Mohali,02-11-2009
MG Johnson ,9*,15,6,2,0,150,1,v India,Pune,13-10-2013
RG Sharma ,9,19,13,1,0,69.23,2,v Australia,Ranchi,23-10-2013
JP Faulkner ,9*,13,9,2,0,100,2,v India,Melbourne,18-01-2015
AC Agar ,9*,11,6,1,0,150,1,v India,Indore,24-09-2017
SK Raina ,9,11,10,0,1,90,2,v Australia,Vadodara,25-10-2009
Yuvraj Singh ,9,21,10,1,0,90,2,v Australia,Hyderabad (Deccan),05-11-2009
P Kumar ,9,16,9,0,1,100,2,v Australia,Hyderabad (Deccan),05-11-2009
TD Paine ,9,34,24,1,0,37.5,1,v India,Visakhapatnam,20-10-2010
Z Khan ,9,14,11,2,0,81.81,2,v Australia,Brisbane,19-02-2012
GJ Maxwell ,9,5,6,2,0,150,1,v India,Nagpur,30-10-2013
V Kohli ,9,24,16,0,0,56.25,1,v Australia,Melbourne,18-01-2015
S Dhawan ,9,27,22,1,0,40.9,1,v Australia,Perth,12-01-2016
R Dhawan ,9,8,8,1,0,112.5,2,v Australia,Canberra,20-01-2016
MS Wade ,9,17,10,1,0,90,2,v India,Chennai,17-09-2017
PJ Cummins ,9,7,7,1,0,128.57,2,v India,Chennai,17-09-2017
RG Sharma ,9,-,17,1,0,52.94,2,v Australia,Melbourne,18-01-2019
TD Paine ,8,22,14,1,0,57.14,2,v India,Nagpur,28-10-2009
MG Johnson ,8,17,15,0,0,53.33,1,v India,Mohali,02-11-2009
G Gambhir ,8,17,13,1,0,61.53,2,v Australia,Hyderabad (Deccan),05-11-2009
MJ Clarke ,8,30,19,0,0,42.1,1,v India,Ahmedabad,24-03-2011
SK Raina ,8,16,7,1,0,114.28,2,v Australia,Sydney,26-02-2012
RA Jadeja ,8,30,17,1,0,47.05,2,v Australia,Sydney,26-02-2012
S Dhawan ,8,8,6,2,0,133.33,1,v Australia,Mohali,19-10-2013
S Dhawan ,8,24,13,0,0,61.53,1,v Australia,Sydney,26-01-2015
AJ Finch ,8,11,11,1,0,72.72,2,v India,Perth,12-01-2016
Gurkeerat Singh ,8,6,7,1,0,114.28,1,v Australia,Melbourne,17-01-2016
V Kohli ,8,11,11,1,0,72.72,2,v Australia,Sydney,23-01-2016
NM Coulter-Nile ,8,30,20,0,0,40,2,v India,Kolkata,21-09-2017
RA Jadeja ,8,20,13,0,0,61.53,2,v Australia,Sydney,12-01-2019
A Zampa ,8,-,14,0,0,57.14,1,v India,Melbourne,18-01-2019
CJ McKay ,7*,7,3,1,0,233.33,1,v India,Ranchi,23-10-2013
BJ Haddin ,7*,22,7,1,0,100,1,v India,Sydney,26-03-2015
GA Manou ,7,12,6,0,0,116.66,1,v India,Mohali,02-11-2009
RA Jadeja ,7,33,21,1,0,33.33,2,v Australia,Mohali,02-11-2009
A Nehra ,7,21,8,1,0,87.5,2,v Australia,Mohali,02-11-2009
MS Dhoni ,7,19,8,1,0,87.5,2,v Australia,Ahmedabad,24-03-2011
RT Ponting ,7,33,26,0,0,26.92,1,v India,Brisbane,19-02-2012
PJ Forrest ,7,17,18,1,0,38.88,1,v India,Sydney,26-02-2012
AC Voges ,7,15,13,0,0,53.84,1,v India,Pune,13-10-2013
S Dhawan ,7,29,15,1,0,46.66,2,v Australia,Pune,13-10-2013
Yuvraj Singh ,7,8,7,0,1,100,2,v Australia,Pune,13-10-2013
AC Voges ,7,27,16,1,0,43.75,1,v India,Ranchi,23-10-2013
SK Raina ,7,20,11,1,0,63.63,2,v Australia,Sydney,26-03-2015
SE Marsh ,7,30,14,0,0,50,1,v India,Sydney,23-01-2016
RG Sharma ,7,24,14,1,0,50,1,v Australia,Kolkata,21-09-2017
MG Johnson ,6*,7,6,0,0,100,1,v India,Ahmedabad,24-03-2011
UT Yadav ,6*,8,6,1,0,100,2,v Australia,Brisbane,19-02-2012
RA Jadeja ,6*,11,5,0,0,120,1,v Australia,Melbourne,17-01-2016
Mohammed Shami ,6*,10,6,1,0,100,2,v Australia,Bengaluru,28-09-2017
G Gambhir ,6,31,15,0,0,40,2,v Australia,Delhi,31-10-2009
MC Henriques ,6,13,13,0,0,46.15,1,v India,Mohali,02-11-2009
MS Dhoni ,6,17,15,0,0,40,2,v Australia,Hyderabad (Deccan),05-11-2009
V Sehwag ,6,1,4,0,1,150,1,v Australia,Guwahati,08-11-2009
Yuvraj Singh ,6,29,16,1,0,37.5,1,v Australia,Guwahati,08-11-2009
SE Marsh ,6,16,14,1,0,42.85,2,v India,Guwahati,08-11-2009
DA Warner ,6,24,14,0,0,42.85,1,v India,Melbourne,05-02-2012
RT Ponting ,6,14,14,1,0,42.85,1,v India,Adelaide,12-02-2012
R Vinay Kumar ,6,14,12,0,0,50,2,v Australia,Brisbane,19-02-2012
GJ Maxwell ,6,7,6,1,0,100,2,v India,Perth,12-01-2016
S Dhawan ,6,10,4,1,0,150,1,v Australia,Brisbane,15-01-2016
MK Pandey ,6,13,5,1,0,120,1,v Australia,Brisbane,15-01-2016
RG Sharma ,6,17,11,0,0,54.54,1,v Australia,Melbourne,17-01-2016
MS Wade ,6,17,10,0,0,60,2,v India,Melbourne,17-01-2016
AJ Finch ,6,4,6,1,0,100,1,v India,Sydney,23-01-2016
GJ Bailey ,6,13,14,0,0,42.85,1,v India,Sydney,23-01-2016
AJ Finch ,6,10,11,0,0,54.54,1,v India,Sydney,12-01-2019
AJ Finch ,6,28,19,0,0,31.57,1,v India,Adelaide,15-01-2019
A Zampa ,5*,9,4,0,0,125,2,v India,Chennai,17-09-2017
KM Jadhav ,5*,14,8,1,0,62.5,2,v Australia,Nagpur,01-10-2017
SR Watson ,5,6,6,1,0,83.33,1,v India,Vadodara,25-10-2009
RA Jadeja ,5,16,13,0,0,38.46,2,v Australia,Vadodara,25-10-2009
SE Marsh ,5,33,23,0,0,21.73,1,v India,Mohali,02-11-2009
G Gambhir ,5,17,8,0,0,62.5,2,v Australia,Melbourne,05-02-2012
R Ashwin ,5,4,3,0,0,166.66,2,v Australia,Melbourne,05-02-2012
G Gambhir ,5,6,5,1,0,100,2,v Australia,Brisbane,19-02-2012
V Sehwag ,5,8,11,1,0,45.45,2,v Australia,Sydney,26-02-2012
R Ashwin ,5,11,10,0,0,50,2,v Australia,Pune,13-10-2013
AJ Finch ,5,7,10,1,0,50,1,v India,Ranchi,23-10-2013
AJ Finch ,5,6,5,1,0,100,2,v India,Bengaluru,02-11-2013
GJ Bailey ,5,12,11,0,0,45.45,2,v India,Melbourne,18-01-2015
R Ashwin ,5,19,13,0,0,38.46,2,v Australia,Sydney,26-03-2015
DA Warner ,5,20,10,1,0,50,2,v India,Perth,12-01-2016
RA Jadeja ,5,9,5,0,0,100,1,v Australia,Brisbane,15-01-2016
Gurkeerat Singh ,5,9,6,1,0,83.33,2,v Australia,Canberra,20-01-2016
AM Rahane ,5,18,15,0,0,33.33,1,v Australia,Chennai,17-09-2017
TM Head ,5,6,6,0,0,83.33,2,v India,Chennai,17-09-2017
MS Dhoni ,5,19,10,1,0,50,1,v Australia,Kolkata,21-09-2017
GJ Maxwell ,5,18,13,0,0,38.46,1,v India,Indore,24-09-2017
AR Patel ,5,15,6,0,0,83.33,2,v Australia,Bengaluru,28-09-2017
AT Carey ,5,-,11,1,0,45.45,1,v India,Melbourne,18-01-2019
SR Tendulkar ,4,14,8,1,0,50,1,v Australia,Nagpur,28-10-2009
A Nehra ,4,16,12,0,0,33.33,1,v Australia,Guwahati,08-11-2009
SK Raina ,4,14,9,0,0,44.44,2,v Australia,Melbourne,05-02-2012
B Lee ,4,14,15,0,0,26.66,1,v India,Sydney,26-02-2012
GJ Bailey ,4,11,12,0,0,33.33,2,v India,Bengaluru,02-11-2013
AC Voges ,4,27,14,0,0,28.57,2,v India,Bengaluru,02-11-2013
TM Head ,4,18,6,0,0,66.66,1,v India,Indore,24-09-2017
I Sharma ,3*,9,8,0,0,37.5,2,v Australia,Mohali,02-11-2009
V Kohli ,3*,8,9,0,0,33.33,1,v Australia,Sydney,26-01-2015
R Dhawan ,3*,5,5,0,0,60,1,v Australia,Melbourne,17-01-2016
MS Dhoni ,3*,9,6,0,0,50,2,v Australia,Indore,24-09-2017
MS Wade ,3*,6,3,0,0,100,1,v India,Bengaluru,28-09-2017
AC Voges ,3,7,7,0,0,42.85,1,v India,Vadodara,25-10-2009
PM Siddle ,3,5,5,0,0,60,2,v India,Nagpur,28-10-2009
MEK Hussey ,3,15,9,0,0,33.33,1,v India,Ahmedabad,24-03-2011
CJ McKay ,3,3,3,0,0,100,1,v India,Adelaide,12-02-2012
SR Tendulkar ,3,21,12,0,0,25,2,v Australia,Brisbane,19-02-2012
GJ Maxwell ,3,3,3,0,0,100,2,v India,Mohali,19-10-2013
BJ Haddin ,3,5,4,0,0,75,1,v India,Ranchi,23-10-2013
NM Coulter-Nile ,3,6,5,0,0,60,2,v India,Bengaluru,02-11-2013
MP Stoinis ,3,28,10,0,0,30,2,v India,Chennai,17-09-2017
MK Pandey ,3,14,13,0,0,23.07,1,v Australia,Kolkata,21-09-2017
PSP Handscomb ,3,13,7,0,0,42.85,1,v India,Indore,24-09-2017
SPD Smith ,3,5,5,0,0,60,1,v India,Bengaluru,28-09-2017
V Kohli ,3,10,8,0,0,37.5,2,v Australia,Sydney,12-01-2019
Kuldeep Yadav ,3,14,6,0,0,50,2,v Australia,Sydney,12-01-2019
CJ Ferguson ,2*,8,7,0,0,28.57,1,v India,Centurion,28-09-2009
A Nehra ,2*,4,2,0,0,100,2,v Australia,Vadodara,25-10-2009
MM Patel ,2*,9,3,0,0,66.66,2,v Australia,Hyderabad (Deccan),05-11-2009
RJ Harris ,2*,11,4,0,0,50,1,v India,Adelaide,12-02-2012
Mohammed Shami ,2*,5,3,0,0,66.66,1,v Australia,Melbourne,18-01-2015
JW Hastings ,2*,8,3,0,0,66.66,1,v India,Sydney,23-01-2016
UT Yadav ,2*,3,2,0,0,100,2,v Australia,Bengaluru,28-09-2017
PJ Cummins ,2*,7,2,0,0,100,1,v India,Nagpur,01-10-2017
RT Ponting ,2,11,12,0,0,16.66,1,v India,Melbourne,05-02-2012
SR Tendulkar ,2,9,6,0,0,33.33,2,v Australia,Melbourne,05-02-2012
SR Watson ,2,4,4,0,0,50,1,v India,Pune,13-10-2013
RA Jadeja ,2,9,4,0,0,50,1,v Australia,Mohali,19-10-2013
S Dhawan ,2,3,4,0,0,50,1,v Australia,Melbourne,18-01-2015
AM Rahane ,2,7,3,0,0,66.66,2,v Australia,Canberra,20-01-2016
B Kumar ,2,6,6,0,0,33.33,2,v Australia,Canberra,20-01-2016
UT Yadav ,2,11,11,0,0,18.18,2,v Australia,Canberra,20-01-2016
NM Coulter-Nile ,2,9,5,0,0,40,2,v India,Chennai,17-09-2017
MS Wade ,2,16,8,0,0,25,2,v India,Kolkata,21-09-2017
KM Jadhav ,2,3,4,0,0,50,2,v Australia,Indore,24-09-2017
JA Richardson ,2,8,6,0,0,33.33,1,v India,Adelaide,15-01-2019
Harbhajan Singh ,1*,3,1,0,0,100,1,v Australia,Nagpur,28-10-2009
R Ashwin ,1*,8,2,0,0,50,2,v Australia,Adelaide,12-02-2012
I Sharma ,1*,3,3,0,0,33.33,2,v Australia,Pune,13-10-2013
BJ Haddin ,1*,5,1,0,0,100,1,v India,Jaipur,16-10-2013
Mohammed Shami ,1*,11,1,0,0,100,2,v Australia,Sydney,26-03-2015
JP Faulkner ,1*,1,1,0,0,100,2,v India,Perth,12-01-2016
JP Behrendorff ,1*,3,1,0,0,100,1,v India,Adelaide,15-01-2019
P Kumar ,1,1,1,0,0,100,1,v Australia,Nagpur,28-10-2009
PM Siddle ,1,6,5,0,0,20,1,v India,Mohali,02-11-2009
A Nehra ,1,1,2,0,0,50,2,v Australia,Hyderabad (Deccan),05-11-2009
RG Sharma ,1,2,2,0,0,50,2,v Australia,Melbourne,05-02-2012
SR Watson ,1,9,7,0,0,14.28,1,v India,Sydney,26-02-2012
CJ McKay ,1,4,2,0,0,50,1,v India,Sydney,26-02-2012
P Kumar ,1,8,4,0,0,25,2,v Australia,Sydney,26-02-2012
V Kohli ,1,11,13,0,0,7.69,2,v Australia,Sydney,26-03-2015
R Ashwin ,1,4,2,0,0,50,1,v Australia,Brisbane,15-01-2016
JP Faulkner ,1,3,3,0,0,33.33,1,v India,Sydney,23-01-2016
HWR Cartwright ,1,15,8,0,0,12.5,2,v India,Chennai,17-09-2017
SPD Smith ,1,8,5,0,0,20,2,v India,Chennai,17-09-2017
YS Chahal ,1,3,2,0,0,50,1,v Australia,Kolkata,21-09-2017
HWR Cartwright ,1,12,15,0,0,6.66,2,v India,Kolkata,21-09-2017
DA Warner ,1,22,9,0,0,11.11,2,v India,Kolkata,21-09-2017
Mohammed Shami ,1,4,2,0,0,50,2,v Australia,Sydney,12-01-2019
UT Yadav ,0*,3,3,0,0,0,2,v Australia,Sydney,26-02-2012
I Sharma ,0*,1,0,0,0,-,1,v Australia,Mohali,19-10-2013
BJ Haddin ,0*,1,0,0,0,-,1,v India,Nagpur,30-10-2013
RA Jadeja ,0*,2,0,0,0,-,1,v Australia,Bengaluru,02-11-2013
XJ Doherty ,0*,2,0,0,0,-,2,v India,Bengaluru,02-11-2013
UT Yadav ,0*,1,0,0,0,-,1,v Australia,Brisbane,15-01-2016
JW Hastings ,0*,1,0,0,0,-,2,v India,Melbourne,17-01-2016
JW Hastings ,0*,6,0,0,0,-,1,v India,Canberra,20-01-2016
Gurkeerat Singh ,0*,2,0,0,0,-,2,v Australia,Sydney,23-01-2016
Kuldeep Yadav ,0*,2,0,0,0,-,1,v Australia,Chennai,17-09-2017
SR Watson ,0,9,7,0,0,0,1,v India,Centurion,28-09-2009
B Lee ,0,4,3,0,0,0,1,v India,Vadodara,25-10-2009
CL White ,0,5,7,0,0,0,1,v India,Delhi,31-10-2009
DE Bollinger ,0,3,1,0,0,0,1,v India,Mohali,02-11-2009
Harbhajan Singh ,0,1,2,0,0,0,2,v Australia,Hyderabad (Deccan),05-11-2009
G Gambhir ,0,1,2,0,0,0,1,v Australia,Guwahati,08-11-2009
SK Raina ,0,6,5,0,0,0,1,v Australia,Guwahati,08-11-2009
Harbhajan Singh ,0,1,2,0,0,0,1,v Australia,Guwahati,08-11-2009
MM Patel ,0,1,2,0,0,0,1,v Australia,Guwahati,08-11-2009
SE Marsh ,0,15,11,0,0,0,1,v India,Visakhapatnam,20-10-2010
S Dhawan ,0,1,2,0,0,0,2,v Australia,Visakhapatnam,20-10-2010
MS Dhoni ,0,3,1,0,0,0,2,v Australia,Visakhapatnam,20-10-2010
RG Sharma ,0,6,5,0,0,0,2,v Australia,Brisbane,19-02-2012
Yuvraj Singh ,0,1,1,0,0,0,1,v Australia,Mohali,19-10-2013
R Vinay Kumar ,0,10,1,0,0,0,1,v Australia,Mohali,19-10-2013
MG Johnson ,0,3,1,0,0,0,1,v India,Nagpur,30-10-2013
Yuvraj Singh ,0,2,3,0,0,0,2,v Australia,Nagpur,30-10-2013
V Kohli ,0,4,3,0,0,0,1,v Australia,Bengaluru,02-11-2013
AR Patel ,0,2,2,0,0,0,1,v Australia,Melbourne,18-01-2015
B Kumar ,0,1,1,0,0,0,1,v Australia,Melbourne,18-01-2015
MM Sharma ,0,1,1,0,0,0,2,v Australia,Sydney,26-03-2015
UT Yadav ,0,5,5,0,0,0,2,v Australia,Sydney,26-03-2015
JP Faulkner ,0,1,1,0,0,0,1,v India,Canberra,20-01-2016
MS Wade ,0,2,2,0,0,0,1,v India,Canberra,20-01-2016
MS Dhoni ,0,2,3,0,0,0,2,v Australia,Canberra,20-01-2016
I Sharma ,0,8,3,0,0,0,2,v Australia,Canberra,20-01-2016
V Kohli ,0,7,4,0,0,0,1,v Australia,Chennai,17-09-2017
MK Pandey ,0,4,2,0,0,0,1,v Australia,Chennai,17-09-2017
Kuldeep Yadav ,0,1,2,0,0,0,1,v Australia,Kolkata,21-09-2017
AC Agar ,0,1,1,0,0,0,2,v India,Kolkata,21-09-2017
PJ Cummins ,0,1,1,0,0,0,2,v India,Kolkata,21-09-2017
KW Richardson ,0,16,7,0,0,0,2,v India,Kolkata,21-09-2017
NM Coulter-Nile ,0,1,1,0,0,0,1,v India,Nagpur,01-10-2017
S Dhawan ,0,4,1,0,0,0,2,v Australia,Sydney,12-01-2019
AT Rayudu ,0,2,2,0,0,0,2,v Australia,Sydney,12-01-2019
PM Siddle ,0,1,1,0,0,0,1,v India,Adelaide,15-01-2019
B Stanlake ,0,-,2,0,0,0,1,v India,Melbourne,18-01-2019
