Player,Runs,Mins,BF,4s,6s,SR,Inns,Opposition,Ground,Start Date
DA Warner ,68,98,66,7,0,103.03,1,v India,Sydney,26-02-2012
V Kohli ,68,121,73,9,0,93.15,1,v Australia,Mohali,19-10-2013
S Dhawan ,68,108,91,9,0,74.72,1,v Australia,Melbourne,17-01-2016
MEK Hussey ,67,101,65,5,0,103.07,1,v India,Centurion,28-09-2009
MS Wade ,67,92,69,4,2,97.1,1,v India,Melbourne,05-02-2012
KM Jadhav ,67,95,69,7,1,97.1,2,v Australia,Bengaluru,28-09-2017
PJ Forrest ,66,92,83,5,2,79.51,1,v India,Adelaide,12-02-2012
RT Ponting ,65,131,88,4,1,73.86,1,v India,Centurion,28-09-2009
MS Dhoni ,65,94,65,3,2,100,2,v Australia,Sydney,26-03-2015
RG Sharma ,65,93,55,1,5,118.18,2,v Australia,Bengaluru,28-09-2017
JP Faulkner ,64*,39,29,2,6,220.68,2,v India,Mohali,19-10-2013
SPD Smith ,63,111,71,5,0,88.73,1,v India,Indore,24-09-2017
MP Stoinis ,62*,97,65,6,3,95.38,2,v India,Kolkata,21-09-2017
SK Raina ,62,68,50,6,1,124,1,v Australia,Nagpur,28-10-2009
CL White ,62,101,71,3,1,87.32,1,v India,Mohali,02-11-2009
MS Dhoni ,62,73,38,7,2,163.15,1,v Australia,Bengaluru,02-11-2013
SE Marsh ,62,116,73,6,0,84.93,2,v India,Melbourne,17-01-2016
DJ Hussey ,61*,45,30,4,3,203.33,1,v India,Melbourne,05-02-2012
KM Jadhav ,61*,-,57,7,0,107.01,2,v Australia,Melbourne,18-01-2019
V Kohli ,61,121,85,6,0,71.76,2,v Australia,Pune,13-10-2013
AM Rahane ,61,93,74,7,0,82.43,2,v Australia,Nagpur,01-10-2017
S Dhawan ,60,82,57,9,0,105.26,1,v Australia,Bengaluru,02-11-2013
GJ Maxwell ,60,23,22,3,7,272.72,2,v India,Bengaluru,02-11-2013
RT Ponting ,59,124,92,4,0,64.13,1,v India,Delhi,31-10-2009
SK Raina ,59,76,59,3,3,100,2,v Australia,Hyderabad (Deccan),05-11-2009
MEK Hussey ,59,77,52,6,0,113.46,1,v India,Brisbane,19-02-2012
SR Watson ,59,60,53,6,3,111.32,1,v India,Jaipur,16-10-2013
V Kohli ,59,84,67,4,0,88.05,1,v Australia,Brisbane,15-01-2016
SPD Smith ,59,118,76,8,0,77.63,2,v India,Kolkata,21-09-2017
UT Khawaja ,59,103,81,6,0,72.83,1,v India,Sydney,12-01-2019
Yuvraj Singh ,58,108,87,5,0,66.66,2,v Australia,Visakhapatnam,20-10-2010
PSP Handscomb ,58,-,63,2,0,92.06,1,v India,Melbourne,18-01-2019
Yuvraj Singh ,57*,90,65,8,0,87.69,2,v Australia,Ahmedabad,24-03-2011
CL White ,57,54,33,2,5,172.72,1,v India,Hyderabad (Deccan),05-11-2009
RA Jadeja ,57,148,103,6,0,55.33,1,v Australia,Guwahati,08-11-2009
TD Paine ,56,76,58,7,1,96.55,1,v India,Centurion,28-09-2009
MS Dhoni ,56,115,84,2,1,66.66,2,v Australia,Brisbane,19-02-2012
MS Wade ,56,65,66,2,1,84.84,1,v India,Sydney,26-02-2012
MS Dhoni ,55*,96,54,0,2,101.85,2,v Australia,Adelaide,15-01-2019
AM Rahane ,55,110,64,7,0,85.93,1,v Australia,Kolkata,21-09-2017
P Kumar ,54*,80,51,7,1,105.88,1,v Australia,Guwahati,08-11-2009
DJ Hussey ,54,113,64,2,0,84.37,1,v India,Sydney,26-02-2012
SE Marsh ,54,114,70,4,0,77.14,1,v India,Sydney,12-01-2019
MEK Hussey ,53,80,60,6,0,88.33,2,v India,Nagpur,28-10-2009
BJ Haddin ,53,95,62,6,1,85.48,1,v India,Ahmedabad,24-03-2011
SR Tendulkar ,53,93,68,7,0,77.94,2,v Australia,Ahmedabad,24-03-2011
GJ Maxwell ,53,36,32,7,1,165.62,1,v India,Jaipur,16-10-2013
AM Rahane ,53,75,66,6,1,80.3,2,v Australia,Bengaluru,28-09-2017
DA Warner ,53,91,62,5,0,85.48,1,v India,Nagpur,01-10-2017
RT Ponting ,52,79,59,5,1,88.13,1,v India,Mohali,02-11-2009
PJ Forrest ,52,117,71,3,0,73.23,1,v India,Brisbane,19-02-2012
CL White ,51,91,68,3,1,75,1,v India,Vadodara,25-10-2009
SK Raina ,51,105,63,6,0,80.95,1,v Australia,Melbourne,18-01-2015
SPD Smith ,51,37,29,4,3,175.86,1,v India,Canberra,20-01-2016
MS Dhoni ,51,110,96,3,1,53.12,2,v Australia,Sydney,12-01-2019
TD Paine ,50,84,62,9,0,80.64,1,v India,Vadodara,25-10-2009
G Gambhir ,50,116,64,2,0,78.12,2,v Australia,Ahmedabad,24-03-2011
AJ Finch ,50,64,53,7,1,94.33,1,v India,Jaipur,16-10-2013
AM Rahane ,50,72,55,4,1,90.9,1,v Australia,Melbourne,17-01-2016
Harbhajan Singh ,49,48,31,4,3,158.06,2,v Australia,Vadodara,25-10-2009
SR Watson ,49,86,52,6,0,94.23,1,v India,Mohali,02-11-2009
SR Watson ,49,69,49,10,0,100,2,v India,Guwahati,08-11-2009
SR Watson ,49,28,22,2,6,222.72,2,v India,Bengaluru,02-11-2013
GJ Maxwell ,48,55,37,5,1,129.72,1,v India,Adelaide,15-01-2019
MP Stoinis ,47*,61,43,2,2,109.3,1,v India,Sydney,12-01-2019
PJ Hughes ,47,73,53,5,0,88.67,1,v India,Pune,13-10-2013
SPD Smith ,47,66,52,6,0,90.38,2,v India,Melbourne,18-01-2015
SPD Smith ,46,67,47,4,0,97.87,2,v India,Brisbane,15-01-2016
