Player,Overs,Mdns,Runs,Wkts,Econ,Inns,Opposition,Ground,Start Date
JJ Bumrah ,10,2,51,2,5.1,1,v Australia,Nagpur,01-10-2017
R Ashwin ,10,0,52,2,5.2,1,v Australia,Ahmedabad,24-03-2011
R Vinay Kumar ,8,0,52,2,6.5,1,v Australia,Ranchi,23-10-2013
JJ Bumrah ,10,0,52,2,5.2,1,v Australia,Indore,24-09-2017
Z Khan ,10,0,53,2,5.3,1,v Australia,Ahmedabad,24-03-2011
I Sharma ,10,0,53,2,5.3,2,v Australia,Melbourne,17-01-2016
MP Stoinis ,10,0,54,2,5.4,1,v India,Chennai,17-09-2017
PJ Cummins ,10,0,54,2,5.4,2,v India,Indore,24-09-2017
Kuldeep Yadav ,10,0,54,2,5.4,1,v Australia,Sydney,12-01-2019
R Ashwin ,10,0,55,2,5.5,1,v Australia,Pune,13-10-2013
UT Yadav ,10,1,55,2,5.5,2,v Australia,Melbourne,18-01-2015
MR Marsh ,9.2,0,55,2,5.89,2,v India,Canberra,20-01-2016
HH Pandya ,10,0,56,2,5.6,2,v Australia,Kolkata,21-09-2017
NM Coulter-Nile ,10,0,56,2,5.6,2,v India,Bengaluru,28-09-2017
A Nehra ,10,1,57,2,5.7,1,v Australia,Visakhapatnam,20-10-2010
R Ashwin ,9,0,57,2,6.33,1,v Australia,Ranchi,23-10-2013
A Nehra ,10,0,58,2,5.8,1,v Australia,Vadodara,25-10-2009
R Vinay Kumar ,10,1,58,2,5.8,1,v Australia,Adelaide,12-02-2012
MG Johnson ,10,0,59,2,5.9,2,v India,Vadodara,25-10-2009
A Zampa ,8,0,59,2,7.37,2,v India,Nagpur,01-10-2017
JP Faulkner ,10,0,60,2,6,1,v India,Perth,12-01-2016
I Sharma ,10,0,60,2,6,1,v Australia,Sydney,23-01-2016
R Ashwin ,10,0,64,2,6.4,1,v Australia,Nagpur,30-10-2013
JP Faulkner ,10,0,64,2,6.4,1,v India,Brisbane,15-01-2016
B Kumar ,10,0,66,2,6.6,1,v Australia,Sydney,12-01-2019
MP Stoinis ,10,0,66,2,6.6,2,v India,Sydney,12-01-2019
P Kumar ,9,0,68,2,7.55,1,v Australia,Hyderabad (Deccan),05-11-2009
RA Jadeja ,10,0,68,2,6.8,1,v Australia,Nagpur,30-10-2013
R Ashwin ,9,0,68,2,7.55,2,v Australia,Perth,12-01-2016
UT Yadav ,9.5,0,68,2,6.91,2,v Australia,Melbourne,17-01-2016
SR Watson ,10,0,70,2,7,2,v India,Vadodara,25-10-2009
MG Johnson ,10,0,72,2,7.2,2,v India,Nagpur,30-10-2013
R Vinay Kumar ,9,0,73,2,8.11,1,v Australia,Jaipur,16-10-2013
XJ Doherty ,10,0,74,2,7.4,1,v India,Bengaluru,02-11-2013
MM Sharma ,10,0,75,2,7.5,1,v Australia,Sydney,26-03-2015
Kuldeep Yadav ,10,0,75,2,7.5,1,v Australia,Indore,24-09-2017
AJ Finch ,0.4,0,2,1,3,2,v India,Pune,13-10-2013
DT Christian ,3,0,8,1,2.66,2,v India,Sydney,26-02-2012
GJ Maxwell ,1,0,8,1,8,1,v India,Mohali,19-10-2013
MA Starc ,4,0,11,1,2.75,1,v India,Sydney,26-01-2015
MM Patel ,4,1,13,1,3.25,2,v Australia,Guwahati,08-11-2009
SK Raina ,3,0,13,1,4.33,2,v Australia,Guwahati,08-11-2009
HH Pandya ,2,0,14,1,7,1,v Australia,Nagpur,01-10-2017
GJ Maxwell ,4,0,16,1,4,2,v India,Adelaide,15-01-2019
RG Sharma ,2,0,17,1,8.5,1,v Australia,Melbourne,05-02-2012
RG Sharma ,3,0,17,1,5.66,1,v Australia,Brisbane,19-02-2012
AC Voges ,3,0,18,1,6,2,v India,Pune,13-10-2013
DJ Hussey ,5,0,19,1,3.8,2,v India,Ahmedabad,24-03-2011
AJ Finch ,4,0,20,1,5,2,v India,Nagpur,30-10-2013
JJ Bumrah ,4,0,20,1,5,2,v Australia,Chennai,17-09-2017
DT Christian ,5,0,21,1,4.2,2,v India,Melbourne,05-02-2012
MR Marsh ,3,0,21,1,7,1,v India,Sydney,26-01-2015
AC Voges ,4,0,22,1,5.5,2,v India,Vadodara,25-10-2009
SK Raina ,4,0,23,1,5.75,1,v Australia,Delhi,31-10-2009
B Kumar ,4,0,25,1,6.25,2,v Australia,Chennai,17-09-2017
B Lee ,8,0,26,1,3.25,2,v India,Sydney,26-02-2012
DT Christian ,6,0,27,1,4.5,2,v India,Brisbane,19-02-2012
CJ McKay ,6,0,27,1,4.5,2,v India,Sydney,26-02-2012
JA Richardson ,10,1,27,1,2.7,2,v India,Melbourne,18-01-2019
B Lee ,6,0,28,1,4.66,2,v India,Vadodara,25-10-2009
Yuvraj Singh ,8,0,30,1,3.75,1,v Australia,Delhi,31-10-2009
RA Jadeja ,10,0,31,1,3.1,2,v Australia,Mohali,19-10-2013
NM Hauritz ,9,1,34,1,3.77,2,v India,Vadodara,25-10-2009
R Ashwin ,9,0,34,1,3.77,1,v Australia,Visakhapatnam,20-10-2010
PJ Cummins ,10,1,34,1,3.4,1,v India,Kolkata,21-09-2017
RA Jadeja ,10,0,35,1,3.5,1,v Australia,Pune,13-10-2013
MA Starc ,8,0,36,1,4.5,2,v India,Brisbane,19-02-2012
Harbhajan Singh ,10,0,37,1,3.7,1,v Australia,Delhi,31-10-2009
SR Watson ,7,0,37,1,5.28,2,v India,Ahmedabad,24-03-2011
A Nehra ,8,1,38,1,4.75,1,v Australia,Centurion,28-09-2009
MG Johnson ,10,0,38,1,3.8,2,v India,Pune,13-10-2013
KM Jadhav ,7,0,38,1,5.42,1,v Australia,Bengaluru,28-09-2017
RA Jadeja ,9,0,39,1,4.33,1,v Australia,Vadodara,25-10-2009
A Nehra ,7,0,40,1,5.71,2,v Australia,Nagpur,28-10-2009
JS Paris ,8,0,40,1,5,1,v India,Brisbane,15-01-2016
B Kumar ,8,0,40,1,5,1,v Australia,Nagpur,01-10-2017
JR Hazlewood ,10,1,41,1,4.1,2,v India,Sydney,26-03-2015
JR Hazlewood ,10,0,41,1,4.1,1,v India,Perth,12-01-2016
