Player,Overs,Mdns,Runs,Wkts,Econ,Inns,Opposition,Ground,Start Date
SR Watson ,5,0,47,0,9.4,1,v India,Nagpur,28-10-2009
R Ashwin ,8,0,47,0,5.87,1,v Australia,Adelaide,12-02-2012
SR Watson ,5,0,47,0,9.4,2,v India,Jaipur,16-10-2013
CJ McKay ,7,0,47,0,6.71,2,v India,Nagpur,30-10-2013
B Kumar ,8,1,47,0,5.87,2,v Australia,Bengaluru,02-11-2013
Yuvraj Singh ,10,0,48,0,4.8,1,v Australia,Visakhapatnam,20-10-2010
R Ashwin ,5,0,48,0,9.6,1,v Australia,Melbourne,05-02-2012
GJ Maxwell ,5.3,0,48,0,8.72,2,v India,Jaipur,16-10-2013
JP Faulkner ,7,0,48,0,6.85,2,v India,Canberra,20-01-2016
Kuldeep Yadav ,10,1,48,0,4.8,1,v Australia,Nagpur,01-10-2017
MA Starc ,8,0,49,0,6.12,2,v India,Adelaide,12-02-2012
B Stanlake ,10,0,49,0,4.9,2,v India,Melbourne,18-01-2019
Harbhajan Singh ,10,0,50,0,5,1,v Australia,Ahmedabad,24-03-2011
RA Jadeja ,10,0,50,0,5,1,v Australia,Adelaide,12-02-2012
NM Lyon ,10,1,50,0,5,2,v India,Sydney,12-01-2019
A Nehra ,9,0,51,0,5.66,1,v Australia,Delhi,31-10-2009
P Kumar ,9,1,51,0,5.66,1,v Australia,Visakhapatnam,20-10-2010
MA Starc ,8.5,0,51,0,5.77,2,v India,Visakhapatnam,20-10-2010
SR Watson ,6,0,51,0,8.5,2,v India,Nagpur,30-10-2013
BB Sran ,9,1,51,0,5.66,2,v Australia,Brisbane,15-01-2016
RA Jadeja ,10,0,51,0,5.1,1,v Australia,Canberra,20-01-2016
PJ Cummins ,10,0,52,0,5.2,1,v India,Melbourne,18-01-2015
B Kumar ,10,0,52,0,5.2,1,v Australia,Indore,24-09-2017
JS Paris ,8,0,53,0,6.62,1,v India,Perth,12-01-2016
MR Marsh ,9,0,53,0,5.88,1,v India,Perth,12-01-2016
R Dhawan ,9,0,53,0,5.88,1,v Australia,Canberra,20-01-2016
RA Jadeja ,9,0,53,0,5.88,1,v Australia,Melbourne,18-01-2019
Harbhajan Singh ,9,0,54,0,6,1,v Australia,Centurion,28-09-2009
NM Hauritz ,10,0,54,0,5.4,1,v India,Nagpur,28-10-2009
NM Hauritz ,10,0,54,0,5.4,2,v India,Visakhapatnam,20-10-2010
XJ Doherty ,10,1,54,0,5.4,2,v India,Pune,13-10-2013
B Kumar ,10,0,54,0,5.4,1,v Australia,Jaipur,16-10-2013
UT Yadav ,10,0,54,0,5.4,2,v Australia,Perth,12-01-2016
JP Faulkner ,10,0,54,0,5.4,2,v India,Sydney,23-01-2016
YS Chahal ,8,0,54,0,6.75,1,v Australia,Bengaluru,28-09-2017
KK Ahmed ,8,0,55,0,6.87,1,v Australia,Sydney,12-01-2019
JR Hopes ,7,0,56,0,8,2,v India,Visakhapatnam,20-10-2010
RA Jadeja ,10,0,56,0,5.6,1,v Australia,Sydney,26-03-2015
R Ashwin ,9,0,58,0,6.44,2,v Australia,Mohali,19-10-2013
SM Boland ,10,0,58,0,5.8,2,v India,Sydney,23-01-2016
NM Lyon ,8,0,58,0,7.25,2,v India,Sydney,23-01-2016
PM Siddle ,8,0,58,0,7.25,2,v India,Adelaide,15-01-2019
NM Lyon ,10,0,59,0,5.9,2,v India,Adelaide,15-01-2019
R Vinay Kumar ,10,0,60,0,6,1,v Australia,Brisbane,19-02-2012
R Ashwin ,10,0,60,0,6,2,v Australia,Brisbane,15-01-2016
RA Jadeja ,9,0,61,0,6.77,2,v Australia,Perth,12-01-2016
KW Richardson ,8,1,61,0,7.62,1,v India,Brisbane,15-01-2016
MP Stoinis ,8,0,61,0,7.62,2,v India,Indore,24-09-2017
Mohammed Shami ,10,1,62,0,6.2,1,v Australia,Bengaluru,28-09-2017
SM Boland ,9,0,63,0,7,1,v India,Melbourne,17-01-2016
BB Sran ,8,0,63,0,7.87,2,v Australia,Melbourne,17-01-2016
CJ McKay ,7,0,64,0,9.14,2,v India,Jaipur,16-10-2013
AR Patel ,10,0,66,0,6.6,1,v Australia,Bengaluru,28-09-2017
Kuldeep Yadav ,10,0,66,0,6.6,1,v Australia,Adelaide,15-01-2019
MG Johnson ,9,1,68,0,7.55,2,v India,Jaipur,16-10-2013
Mohammed Shami ,10,0,68,0,6.8,1,v Australia,Sydney,26-03-2015
B Kumar ,8,0,69,0,8.62,1,v Australia,Canberra,20-01-2016
I Sharma ,9,1,70,0,7.77,1,v Australia,Jaipur,16-10-2013
XJ Doherty ,10,0,70,0,7,2,v India,Jaipur,16-10-2013
R Vinay Kumar ,9,1,71,0,7.88,1,v Australia,Visakhapatnam,20-10-2010
RA Jadeja ,10,0,72,0,7.2,1,v Australia,Jaipur,16-10-2013
MM Patel ,9,0,73,0,8.11,1,v Australia,Hyderabad (Deccan),05-11-2009
MG Johnson ,9,0,74,0,8.22,2,v India,Mohali,02-11-2009
SM Boland ,10,0,74,0,7.4,1,v India,Perth,12-01-2016
Mohammed Siraj ,10,0,76,0,7.6,1,v Australia,Adelaide,15-01-2019
P Kumar ,10,0,77,0,7.7,1,v Australia,Vadodara,25-10-2009
A Mishra ,10,0,78,0,7.8,1,v Australia,Nagpur,30-10-2013
NM Coulter-Nile ,10,0,80,0,8,1,v India,Bengaluru,02-11-2013
